URI,dcdtr:elementName,skos:prefLabel,dct:description,dcdtr:meaning,dcdtr:containerObject,dcdtr:dataType,dcdtr:valueDomain,dcdtr:unitOfMeasure,source
class/attribute/featureuri,FeatureURI,Feature URI,"Unique identifier that specifies the feature represented: e.g. a geologic feature, aquifer or facility structure. Ideally, the identifier is an http URI that will dereference to a known, useful representation of the feature. This identifier will be used to cross reference the feature to other information related to this feature.",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/field,Field,Field,"Name of the field in which the borehole is located. If multiple names are or have been used for the field, separate values with a pipe  |  character.",,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/fieldname,FieldName,Field Name,"Name of the Geothermal Area. If multiple names are or have been used for the field, separate values with a  |  character.",,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/firstproductiondate,FirstProductionDate,First Production Date,"Date for the record (of first production). Day, month and year must be specified; ",,,def/primitive-type/date-time,class/value-domain/era-of-borehole-drilling,,
class/attribute/flow,Flow,Flow,"Fluid production flow rate, reported in decimal format.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/flowcontinuity,FlowContinuity,Flow Continuity,Continuity of flow terms: Perennial water source (has continuous flow all year long); Intermittent (normally ceases flowing for weeks or months each year); ephermal (flow only for hours or days following rainfall).,,,def/primitive-type/term,,,
class/attribute/flowgpm,Flowgpm,Flow gpm,Fluid production flow rate.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/flowhistory,FlowHistory,Flow History,"Long text field used to summarize flow history for test, as a series of records using this template (use pipe  |  character to separate records): operation | startTime | endTime |  duration | chokeSize | pressure | temperature | recoveryColumn |  recoveryType | note",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/flowmeasurementdatetime,FlowMeasurementDateTime,Flow Measurement Date Time,"Date for the record (date on which observation, measurement or test was made or specimen was collected. Day, month and year must be specified; ",,,def/primitive-type/date-time,class/value-domain/era-of-borehole-drilling,,
class/attribute/flowmeasurementprocedure,FlowMeasurementProcedure,Flow Measurement Procedure,"Text description of how the measurement was made - instrumentation, logging rate, correction or extrapolation process, how time since circulation was determined, etc. Data provider should indicate QA/QC performed on the data, including individual or institution, time frame and depth of quality check.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/flowpressuremax,FlowPressureMax,Flow Pressure Max,Maximum flow pressure should be equivalent to PressureFinalShutIn; reported in decimal format.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/flowpressuremethod,FlowPressureMethod,Flow Pressure Method,"Text description of how the measurement was made - instrumentation, logging rate, correction or extrapolation process, how time since circulation was determined, etc. Data provider should indicate QA/QC performed on the data, including individual or institution, time frame and depth of quality check. Separate different methods with a pipe  |  character.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/flowpressuremin,FlowPressureMin,Flow Pressure Min,"Minimum Flow Pressure in the pipe, reported in decimal format.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/flowtype,FlowType,FlowType,"Term describing eruptive style, e.g. pahoehoe, aa, block-and-ash.",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/flowunits,FlowUnits,Flow Units,"Units for flow rate, either gallons per minute (gpm) or liters per minute (lpm).",,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/fluidlevel,FluidLevel,Fluid Level,"The depth, or distance from surface, that the fluid in a well incapable of natural flow will reach under static conditions;.reported in same units as reported in LengthUnits.",,,def/primitive-type/string,,,
class/attribute/fluidloss,FluidLoss,Fluid Loss,Leakage of the liquid phase of drilling fluid containing solid particles into the formation matrix.,,,def/primitive-type/string,,,
class/attribute/fluidtemperaturec,FluidTemperatureC,Fluid Temperature C,"Water temperature, in decimal format. Degrees Celsius is preferred and will be reported for consistency in service implementations.",,,def/primitive-type/real-number,class/value-domain/geothermal-fluid-temperature-range-c,,
class/attribute/fluidtemperature-c,FluidTemperature_C,Fluid Temperature Centigrade,mean temperature of fluid,,,def/primitive-type/real-number,decimal number,,
class/attribute/fluidtype,FluidType,Fluid Type,"Please use Commodity of Interest vocabulary; if multiple fluids produced or injected during reported interval, separate with a pipe  |  character .",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/fluidvolume,FluidVolume,Fluid Volume,Total fluid volume produced by the well during this reported production interval.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/fluidvolumeunits,FluidVolumeUnits,Fluid Volume Units,Unit of measurement used; for liquids the preference is -gallon-.,,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/formationfactor,FormationFactor,Formation Factor,"The ratio of the resistivity of a rock filled with water (Ro) to the resistivity of that water (Rw). G.E. Archie postulated that the formation factor (F) was a constant independent of Rw and solely a function of pore geometry (the Archie equation I). It has since been shown that F is independent of Rw only for a certain class of petrophysically simple rocks (Archie rocks). In rocks with conductive minerals, such as shaly sands, there is a more complex dependence. In such cases, the ratio Ro/Rw is known as the apparent formation factor and may vary with Rw , temperature and the type of ion in solution. The intrinsic formation factor is then defined as F corrected for the effect of shale, or else the value of Ro/Rw at the limit of high salinity (low Rw ). The correction for the effect of shale depends on the saturation equation used, for example Waxman-Smits, dual water, SGS or CRMM. Unless otherwise stated, the term formation factor usually refers to the apparent formation factor. F has been related to porosity (phi) by several formulae (Archie, Humble and others) that have the general expression F = a / phi^m, where a is a constant and m the porosity exponent.",,,def/primitive-type/real-number,,,http://www.glossary.oilfield.slb.com/Terms/f/formation_factor.aspx
class/attribute/formationname,FormationName,Formation Name,"Name of geologic unit for interval section or BHT value of well or geologic unit at the bottom of the mine. Include hierarchy of names if the unit is part of a higher-rank geologic unit, e.g. Group name/Formation name, or Formation/Member, or Group/ Formation. Spell out unit names in full.",,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/formationtd,FormationTD,Formation TD,Name of geologic unit at the bottom of the borehole.,,,def/primitive-type/string,literal,,
class/attribute/formationtemperature,FormationTemperature,Formation Temperature,"Temperature of the geologic formation, in decimal format. Degrees Celsius is preferred and will be reported for consistency in service implementations.",,,def/primitive-type/real-number,,,
class/attribute/freeaircorrection-mgal,FreeAirCorrection_mgal,Free Air Correction mgal,"Correction for variation in observed gravity based on elevation of station;  Newton’s law of gravitation predicts that gravity varies with distance from the center of the Earth. 4 decimal places is recommended by the USGS (OFR 02-463, p.6).",,,def/primitive-type/real-number,,,
class/attribute/fullname,FullName,Full Name,"Hierarchical path name for the described shear displacement structure feature, from largest to most specific. E.g. Pinto Mountain fault zone/Morongo Valley fault. Use slash  /  as the hierarchical delimiter.",,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/function,Function,Function,"Functional characterization of the borehole, at the time indicated in the StatusDate element.",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/genericsymbolizer,GenericSymbolizer,Generic Symbolizer,"Identifier for symbol for default portrayal of this feature in some symbol scheme. This is a convenience value, and assumes the existence of SLD or other legend-type artifact that maps from these symbol identifiers to graphical elements. Required. Recommend use of FGDC symbol code used to portray the feature (contour type) on map.",,,def/primitive-type/string,,,
class/attribute/geographicposition,GeographicPosition,Geographic Position,"Added by GIS for WFS service; this element appears in the xml output, but is generated during service deployment from the latitude and longitude, therefore it does not appear in the template",,,def/primitive-type/point-object,,,
class/attribute/geologicage,GeologicAge,Geologic Age,"Age of a sample as described by the stratigraphic  era, period, etc. “Cretaceous”; “Upper Miocene”.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/geologicformation,GeologicFormation,Geologic Formation,"Name of geologic unit that was encountered during drilling or trenching. Include hierarchy of names if the unit is part of a higher-rank geologic unit, e.g. Group name/Formation name, or Formation/Member, or Group/ Formation. Spell out unit names in full.",,,def/primitive-type/string,,,
class/attribute/geologicformationname,GeologicFormationName,Geologic Formation Name,"Name of geologic unit that was sampled. Include hierarchy of names if the unit is part of a higher-rank geologic unit, e.g. Group name/Formation name, or Formation/Member, or Group/ Formation. Spell out unit names in full.",,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/geologicformationtype,GeologicFormationType,Geologic Formation Type,"Name of sample material type, e.g., granite, sandstone, arkose, schist.",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/geologicformationuri,GeologicFormationURI,Geologic Formation URI,Unique identifier for the geologic formation of this record.,,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/geologichistory,GeologicHistory,Geologic History,Free text description of age or history of the feature.,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/geologicsetting,GeologicSetting,Geologic Setting,Description of the geologic setting where the resource occurs.,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/geologicunit,GeologicUnit,Geologic Unit,interpret this to be the formation name assigned to material erupted from the vent.,,,def/primitive-type/string,,,
class/attribute/geologicunitname,GeologicUnitName,Geologic Unit Name,"Name of geologic unit that was sampled. Include hierarchy of names if the unit is part of a higher-rank geologic unit, e.g. groupName/Formation name, or Formation/Member, or Group/ Formation/ Member/ Flow. Spell out unit names in full.",,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/geothermalareauri,GeothermalAreaURI,Geothermal Area URI,"Unique identifier that specifies the feature (Geothermal Area). Ideally, the identifier is an http URI that will dereference to a known, useful representation of the feature. This identifier will be used to cross reference the feature to other information related to this feature.",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/geothermtempcharacterization,GeothermTempCharacterization,Geotherm Temp Characterization,Simple characterization of the geothermal resource. Use terms -High Temperature- or -Low Temperature-.,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/gradientunits,GradientUnits,Gradient Units,°C/km (preferred) or °C/m or °F/100ft or °F/ft.  Note: degrees Celsius per kilometer (°C/km) is equivalent to milliwatts Kelvin per meter (mKm?1).,,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/grossproductioncapacity,GrossProductionCapacity,Gross Production Capacity,"Total energy production possible, reported in MW units.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/grossproduction-mwhr,GrossProduction_MWhr,Gross Production MWhr,Reported gross production from the power plant for the reporting period in MWhr.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/groundwaterflowdirection,GroundwaterFlowDirection,Groundwater Flow Direction,"Estimated direction of groundwater flow. Report all directions using the NSEW convention. N, ESE, SW etc.",,,def/primitive-type/string,,,
class/attribute/gtepicenterquality,GTEpicenterQuality,GT Epicenter Quality,"GT (-Ground Truth-) epicentre quality (km) as claimed by contributor. For example, GT2 means that the submitted epicentre estimate has a 95% chance of lying within 2 km of the true epicentre. See also http://www.isc.ac.uk/gtevents/",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/gtqualitysupportdata,GTQualitySupportData,GT Quality Support Data,Availability of information in support of the claimed GT quality e.g.: *RMS of residuals and number of stations used; *Goodness of fit of synthetics to observed waveforms as a function of depth; *Quality of depth phases such as pP and sP,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/gwdischargedistance-m,GWDischargeDistance_m,GW Discharge Distance m,"Estimated discharge length of groundwater, reported in decimal meter units. Discharge is measured by a volume (length [or distance traveled] x thickness) of water to pass through a cross section area.",,,def/primitive-type/real-number,class/value-domain/length-meters,def/units-of-measure/meter,
class/attribute/headeruri,HeaderURI,Header URI,"Unique identifier for the borehole indicated by this record. This identifier should identify the physical well, based on the API number if available. Otherwise, the URI should incorporate one of the OtherID values. If the API number indicates multiple instances of reentry, recompletion, sidetrack, etc., each instance is to have its own HeaderURI.  For example, the API number 42-501-20130-0300 indicates a well (42-501-20130) with three sidetracks, for a total of four total boreholes (-0000,-0100, -0200,-0300), each of which should have its own database record and HeaderURI.This is the identifier (Uniform Resource Identifier) that will be used to cross-reference data, samples, and other observations to the observation represented by this record. Best practice is to define an http URI that will dereference to a normative description of the observation. USGIN URIs may be redirected to any URL using the http://resources.usgin.org redirector; contact the USGIN development team at AZGS for instructions.",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/heatapplication,HeatApplication,Heat Application,Statement for how heat is being used. Should come from controlled vocabulary.,,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/heatexchangesystem,HeatExchangeSystem,Heat Exchange System,"Name of compound used to facilitate heat exchange. (Glycol, CO2, Water, Ethylene).",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/heatflowtype,HeatFlowType,Heat Flow Type,"Valid terms are SiteHF or IntervalHF Site = -best- or -highest confidence- value for the location. Interval = a unique combination of temperature, thermal conductivity, and heatflow for a location. If there is only one set of data (a single observation) for a location, use -Site- in this field. If subsequent values become become available for a given location, the -Site- value must be updated accordingly.",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/heatflowunits,HeatFlowUnits,Heat Flow Units,Units used for heat flow values. Preferred units are milliWatts per meter squared  (mW/m2).,,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/heatgeneration,HeatGeneration,Heat Generation,"Calculated value(s) from K, U, Th for an interval or for a drill hole.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/heatgenerationunits,HeatGenerationUnits,Heat Generation Units,Units for Heat Generation.  Preferred units are muWatts per meter cubed ( ?W/m3).,,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/heatproduction-mwm3,HeatProduction_mWm3,Heat Production mW/m3,Heat production value using procedure described in MeasurementProcedure field. Convert units to ?W/m-3,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/heatproductionuncertainty,HeatProductionUncertainty,Heat Production Uncertainty,Free text qualitative or quantitative statement regarding the accuracy of the Heat Production Calculated Value and the method to determine the value.  For example: Formula used (0.0000967*Uranium in ppm+0.0000263*Thorium in ppm+0.0035*(Potassium%/100))*Density in g/cm3.,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/hf-qualitystatisticsmethod,HF_QualityStatisticsMethod,HF Quality Statistics Method,"Method for determining the assigned Quality for heat flow values, e.g., Bullard Plot, Area Statistics, or Quality Code. Text description of how the measurement was made - instrumentation, logging rate, correction or extrapolation process, how time since circulation was determined, etc. Data provider should indicate QA/QC performed on the data, including individual or institution, time frame and depth of quality check.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/hg-numbersamples,HG_NumberSamples,HG NumberSamples,Number of Heat production samples used to determine the Heat Generation value.,,,def/primitive-type/string,,,
class/attribute/holediameter-in,HoleDiameter_in,Hole Diameter in,Diameter in decimal format of the hole or the internal diameter of the casing. Depth or level of measurement may be indicated.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/horizontalconductivity-ft-day,HorizontalConductivity_ft_day,Horizontal Conductivity ft day,Physical property that quantitatively describes the ability of a fluid to move horizontally through the pore spaces and/or fractures in a material.  Report Conductivity values in ft/day.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/hucode,HUCode,HU Code,"Hydrologic Unit Code (HUC/HUCode). 12 digits. The United States is divided and sub-divided into successively smaller Hydrologic Units (HU) which are classified into four levels: regions, sub-regions, accounting units, and cataloging units. Cataloging Units sometimes are called -watersheds-.  The hydrologic units are arranged or nested within each other, from the largest geographic area (regions) to the smallest geographic area (cataloging units). Each hydrologic unit is identified by a unique hydrologic unit code (HUC) based on the four levels of classification in the hydrologic unit system. http://water.usgs.gov/GIS/huc.html",,,def/primitive-type/string,,,
class/attribute/hvac-specs,HVAC_specs,HVAC specifications,Additional specifications of the HVAC system with respect to the physical installation.,,,def/primitive-type/string,,,
class/attribute/hydraulicconductivityft-day,HydraulicConductivityFt_day,Hydraulic conductivity ft/day,"The proportionality constant specifically for the flow of water through a porous media; permeability is a portion of this, and is a property of the porous media only, not the fluid. Given the value of hydraulic conductivity for a subsurface system, the permeability can be calculated.  in this case, reported as feet/day",,,,,,
class/attribute/hydraulicconductivitym-sec,HydraulicConductivityM_sec,Hydraulic conductivity m/sec,"The proportionality constant specifically for the flow of water through a porous media; permeability is a portion of this, and is a property of the porous media only, not the fluid. Given the value of hydraulic conductivity for a subsurface system, the permeability can be calculated.  in this case, reported as meters/sec",,,,,,
class/attribute/hydronarrative,HydroNarrative,Hydro Narrative,Free text used to report watershed/stream information.,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/hydrostaticpressure,HydrostaticPressure,Hydrostatic Pressure,The pressure at any point in a column of fluid caused by the weight of fluid above that point. Weight of the drill fluid in the hole at the start of the test.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/hydrostaticpressuremethod,HydrostaticPressureMethod,Hydrostatic Pressure Method,"Descriptive term/Measurement procedure or method of obtaining the hydrostatic pressure. Data provider should indicate QA/QC performed on the data, including individual or institution, time frame and depth of quality check.",,,def/primitive-type/string,,,
class/attribute/hypocenteruri,HypocenterURI,Hypocenter URI,"Unique identifier that specifies the feature represented: e.g. a geologic feature, aquifer or facility structure. Ideally, the identifier is an http URI that will dereference to a known, useful representation of the feature. This identifier will be used to cross reference the feature  to other information related to this feature. For hypocenter observation, data originator should provide hypocenter-specific identifiers; these may have additional prefix strings (e.g. http://resources.usgin.org/uri-gin/…) added to enable dereferencing of http URIs or to ensure global uniqueness.",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/informationsource,InformationSource,Information Source,"Mandatory. Short text explanation of source of information defining this feature; may be author-date type citation, but should include some indication of how digital data originated. If unpublished data, provide researcher name, date and research institution for proper citation. Separate multiple citations with pipe  |  character.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/injectionordisposal,InjectionOrDisposal,Injection Or Disposal,Term that specifies whether the record refers to injection (negative flow) or disposal (movement out of a well).,,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/instrument,Instrument,Instrument,Name of the instrument used to make the observation.,,,def/primitive-type/string,,,
class/attribute/interceptdepth,InterceptDepth,Intercept Depth,"Depth to the top of the borehole intercept (contact) identified by the BHInterceptURI, from borehole origin to intercept.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/interceptname,InterceptName,Intercept Name,Common or human-readable name by which the intercept is known. Recommend using only web-safe characters (a-z A-Z 0-9 _-.) in the name. Be consistent in the naming convention used within any given dataset.,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/intercepttype,InterceptType,Intercept Type,The intercept type within the borehole: Top or bottom.,,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/intervalbottomdepth,IntervalBottomDepth,Interval Bottom Depth,Depth to the bottom of the interval being tested.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/intervalcorrectedgradient,IntervalCorrectedGradient,Interval Corrected Gradient,Thermal gradient measurement for the depth interval with corrected termperature and terrain corrections applied. ,,,def/primitive-type/real-number,,,
class/attribute/intervalcorrectedgradientmethod,IntervalCorrectedGradientMethod,Interval Corrected Gradient Method,"How correction was determined:  -2-D Terrain- or -3-D Terrain- or -Corrected BHT- or -Climate- or -Hydrology- or -other-. Text description of how the measurement was made - instrumentation, logging rate, correction or extrapolation process, how time since circulation was determined, etc. Data provider should indicate QA/QC performed on the data, including individual or institution, time frame and depth of quality check.",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/intervalcorrectedheatflow,IntervalCorrectedHeatFlow,Interval Corrected Heat Flow,Calculated or estimated corrected heat flow value based on corrected gradient and thermal conductivty. If -Intervals- = 1 (default) this value will be identical to SiteHeatFlow.  Possible to have only heat flow value from publication without gradient and conductivity information.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/intervalenddatetime,IntervalEndDateTime,Interval End Date Time,"End Date for the record: (date on which observation, measurement or test was made or specimen was collected. Day, month and year must be specified; ",,,def/primitive-type/date-time,class/value-domain/calendar-date,,
class/attribute/intervalhf-qualitycode,IntervalHF_QualityCode,Interval HF Quality Code,"Quality Code to indicate confidence of the heat flow value for well.  When there are more than one well interval, add Heat Flow Quality to the primary interval.   For Equilibrium Logs:  A - High Quality Data:  Deeper than 100 meters with at least a 50 meter linear gradient with corrections applied; B - Medium Quality Data: Deeper than 50 meters with gradient corrections applied;  C - Poor Quality Data: Shallow; Isothermal; D - Use for background information but not mapping;   G - Geothermal System: too high a value for regional maps; X - data accuracy low but want site recorded; For BHT Data:  BHT-C:  Many wells nearby with similar values; BHT-X:  Single data source with no method to confirm accuracy of temperature or unreliable conductivity values.  Other defined codes may be added.",,,def/primitive-type/string,,,
class/attribute/intervalname,IntervalName,Interval Name,Common or human-readable name by which the interval is known. Recommend using only web-safe characters (a-z A-Z 0-9 _-.) in the name. Be consistent in the naming convention used within any given dataset.,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/intervals,Intervals,Intervals,Number of interval measurements within this well. Default is 1.,,,def/primitive-type/real-number,,,
class/attribute/intervalsincemovement,IntervalSinceMovement,Interval Since Movement,"Time in kA (thousands of years) with uncertainty, since last event.",,,def/primitive-type/string,,,
class/attribute/intervalstartdatetime,IntervalStartDateTime,Interval Start Date Time,"Start Date for the record: date on which observation, measurement or test was made or specimen was collected. Day, month and year must be specified; ",,,def/primitive-type/date-time,class/value-domain/calendar-date,,
class/attribute/intervalthermalconductivity,IntervalThermalConductivity,Interval Thermal Conductivity,Laboratory measurement or estimated in situ rock thermal conductivity value for the depth interval.  If -intervals- = 1 (default) this value should be identical to SiteThermalConductivity.  ,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/intervaltopdepth,IntervalTopDepth,Interval Top Depth,Depth to the top of the interval being tested.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/intervaltype,IntervalType,Interval Type,The interval type based on the method used to collect the measurement of the borehole interval. Default is Lithology Interval.,,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/intervaluncorrectedgradient,IntervalUncorrectedGradient,Interval Uncorrected Gradient,Gradient determined from initial temperatures for interval depth. ,,,def/primitive-type/real-number,,,
class/attribute/intervaluncorrectedheatflow,IntervalUncorrectedHeatFlow,Interval Uncorrected Heat Flow,Uncorrected heat flow value for the depth interval. Based on thermal conductivity and uncorrected gradient.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/isolinerangemax,IsolineRangeMax,Isoline Range Max,"Describes the maximum value of the range for the Isolines. For example, if IsolineType is -isotherm-, provide the maximum temperature.  Required if TargetRockVolume_m3 and BlockVolume_m3 are provided.",,,def/primitive-type/real-number,,,
class/attribute/isolinerangemin,IsolineRangeMin,Isoline Range Min,"Describes the minimum value of the range for the Isolines. For example, if IsolineType is -isotherm-, provide the minimum temperature.  Required if TargetRockVolume_m3 and BlockVolume_m3 are provided.",,,def/primitive-type/real-number,,,
class/attribute/isolinetypeandunits,IsolineTypeAndUnits,Isoline Type And Units,"Describes the properties of the Isoline including units  (e.g. Isotherm in degrees C, isopachs in meters, etc.).  Required if TargetRockVolume_m3 and BlockVolume_m3 are provided.",,,def/primitive-type/string,,,
class/attribute/isostaticcorrection-mgal,IsostaticCorrection_mgal,Isostatic Correction mgal,Correction to account for the gravitational effects of the masses that compensate topography and remove them from the Free Air or Bouguer anomaly values.,,,def/primitive-type/real-number,,,
class/attribute/keywords,Keywords,Keywords,"Keywords to index this well log. Keywords provide a means to enable use of more controlled term lists to improve search precision. Names of the operator, lease owner and driller of the well bore might be included here. Suggest expanding abbreviations, avoid use of punctuation or special characters, separate keyword or keyword phrases with pipe  |  character.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/label,Label,Label,"Short text string for labeling the feature on maps. Can be the same as feature name. A label may be an OtherLocationName, OtherID or the Name or some combination.",,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/laboratorycontact,LaboratoryContact,Laboratory Contact,"If a Laboratory performed the analysis, include name and address here.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/laboratoryuri,LaboratoryURI,Laboratory URI,Unique identifier (if available) for the laboratory where the analysis was performed.,,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/landleaseowner,LandLeaseOwner,Land Lease Owner,"Companies, individuals, or other entities who own the property. Separate multiple with a pipe  |  character.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/landowner,LandOwner,Land Owner,"Companies, individuals, or other entities who own the property. Separate multiple with a pipe  |  character.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/lasfileurl,LASFileURL,LASFileURL,"URL or -live link- that will retrieve a digital version of the well log encoded as a LAS file on the World Wide Web. See http://www.cwls.org/las_info.php for details about the Log Ascii Standard (LAS) format, which is a commonly used interchange format for digitized well logs. Multiple locations may be listed, delimited by pipe  |  character.",,,def/primitive-type/string,class/value-domain/http-uri,,
class/attribute/lastproductiondate,LastProductionDate,Last Production Date,"Date for the record (of last production). Day, month and year must be specified; ",,,def/primitive-type/date-time,class/value-domain/calendar-date,,
class/attribute/latcentroid,LatCentroid,Lat Centroid,"Latitude coordinate of Centroid of polygon defining geothermal area; values should be provided with at least 4 significant digits for sufficient precision (7 decimal places is recommended by the USGS (OFR 02-463, p. 6). Use decimal degrees.",,class/data-object/coordinate-location,def/primitive-type/real-number,,,
class/attribute/latdegree,LatDegree,Latitude Degrees,"Latitude coordinate for the surface location of the feature (use center point for areas); values should be provided with at least 4 significant digits for sufficient precision (7 decimal places is recommended by the USGS (OFR 02-463, p. 6). Use decimal degrees.",,class/data-object/coordinate-location,def/primitive-type/real-number,class/value-domain/degrees-of-latitude,def/units-of-measure/degree,
class/attribute/latdegreewgs84,LatDegreeWGS84,Lat Degree WGS84,"Latitude coordinate for the surface location of the feature using WGS1984; (use center point for areas); values should be provided with at least 4 significant digits for sufficient precision (7 decimal places is recommended by the USGS (OFR 02-463, p. 6). Use decimal degrees.",,class/data-object/coordinate-location,def/primitive-type/real-number,class/value-domain/degrees-of-latitude,def/units-of-measure/degree,
class/attribute/latitudecorrection-mgal,LatitudeCorrection_mgal,Latitude Correction mgal,"The gravity measurement with a latitude correction applied (see Keller, 2007; http://www.geophysik.uni-muenchen.de/~jowa/praktikum09/gravity_data.pdf, page 6). 4 decimal places is recommended by the USGS (OFR 02-463, p.6).",,,def/primitive-type/real-number,,,
class/attribute/latitudedegrees,LatitudeDegrees,Latitude Degrees,"Latitude coordinate for the surface location of the feature (use center point for areas); values should be provided with at least 4 significant digits for sufficient precision (7 decimal places is recommended by the USGS (OFR 02-463, p. 6). Use decimal degrees.",,class/data-object/coordinate-location,def/primitive-type/real-number,class/value-domain/degrees-of-latitude,def/units-of-measure/degree,
class/attribute/leasename,LeaseName,Lease Name,"Name or number of the lease of the borehole. Formatting and punctuation are not proscribed, but should be consistent within a dataset.",,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/leaseno,LeaseNo,Lease No,Lease number of the borehole or mine identified by the HeaderURI or FeatureURI.,,,def/primitive-type/string,,,
class/attribute/leaseowner,LeaseOwner,Lease Owner,"Companies, individuals, or other entities who own the property. Separate multiple with a pipe  |  character.",,,def/primitive-type/string,,,
class/attribute/length-m,Length_m,Length m,Maximum horizontal dimension of the reservoir.,,,def/primitive-type/real-number,class/value-domain/length-meters,,
class/attribute/lengthunits,LengthUnits,Length Units,"Units used to report all elevation and depth information, decimal meters or feet.",,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/lithology,Lithology,Lithology,"Description of the lithology of surface geology or geologic column for well interval, e.g. arkose, granite, limestone, sandstone, schist. Recommend using CGI simple lithology vocabulary. Use to account for EarthChem Material, EarthChem Type, EarthChem Composition, alluvium, 36-40 ft: gravels; etc.  Include a proportion value for each constituent.",,,def/primitive-type/string,,,
