Attribute Label,dcdtr:representation,Property Label,dcdtr:meaning
Measurement datetime,class/attribute/measurementdatetime,Event in History,def/property/event-in-history
Measurement Device,class/attribute/measurementdevice,Instrument Name,def/property/instrument-name
Measurement Direction,class/attribute/measurementdirection,Orientation,def/property/orientation
Measurement Duration,class/attribute/measurementduration,Observation History,def/property/observation-history
Measurement Formation,class/attribute/measurementformation,Feature Name,def/property/feature-name
Measurement Method,class/attribute/measurementmethod,Observation Procedure,def/property/observation-procedure
Measurement Notes,class/attribute/measurementnotes,Information,def/property/information
Measurement Pressure,class/attribute/measurementpressure,Pressure,def/property/pressure
Measurement Pressure Units,class/attribute/measurementpressureunits,Unit of Measure,def/property/unit-of-measure
Measurement Procedure,class/attribute/measurementprocedure,Procedure Description,def/property/procedure-description
Measurement Run,class/attribute/measurementrun,Local Identifier,def/property/local-identifier
Measurement Source,class/attribute/measurementsource,Provenance,def/property/provenance
Measurement Units,class/attribute/measurementunits,Unit of Measure,def/property/unit-of-measure
metadata uri,class/attribute/metadata-uri,Metadata Reference,def/property/metadata-reference
MetadataURI,class/attribute/metadatauri,Provenance,def/property/provenance
Methodology,class/attribute/methodology,Observation Procedure,def/property/observation-procedure
Min Mine Recharge GrndwtrVol1 m3yr,class/attribute/minminerechargegrndwtrvol1-m3yr,Fluid Flux,def/property/fluid-flux
Min Mine Recharge Vol2 m3yr,class/attribute/minminerechargevol2-m3yr,Fluid Flux,def/property/fluid-flux
Min Mine WtrVel1 myr,class/attribute/minminewtrvel1-myr,Flow Velocity Magnitude,def/property/flow-velocity-magnitude
Min Mine WtrVel2 myr,class/attribute/minminewtrvel2-myr,Flow Velocity Magnitude,def/property/flow-velocity-magnitude
Min Recharge Area km2,class/attribute/minrechargearea-km2,Recharge Extent,def/property/recharge-extent
Min Residence Time 1 year,class/attribute/minresidencetime1-yr,Residence Time,def/property/residence-time
Min Residence Time 2 year,class/attribute/minresidencetime2-yr,Residence Time,def/property/residence-time
Mine Deposit Area m2,class/attribute/minedepositarea-m2,Extent,def/property/extent
Mine Name,class/attribute/minename,Feature Name,def/property/feature-name
Mine Or Opening Type,class/attribute/mineoropeningtype,Feature Type,def/property/feature-type
Mine Start Date,class/attribute/minestartdate,History,def/property/history
Mine Volume m3,class/attribute/minevolume-m3,Volume,def/property/volume
Mine-City Distance km,class/attribute/mine-city-distance-km,Market Proximity,def/property/market-proximity
Mineral Owner,class/attribute/mineralowner,Resource Owner,def/property/resource-owner
Minimum Heat Flux kJ/yr,class/attribute/minhf-kjyr,Heat Flux,def/property/heat-flux
Minimum Monthly Water Production bbl,class/attribute/minimummonthlywaterproduction-bbl,Fluid Flux,def/property/fluid-flux
Monthly Production bbl,class/attribute/monthlyproduction-bbl,Fluid Flux,def/property/fluid-flux
Movement Sense,class/attribute/movementsense,Category  Name,def/property/category--name
Movement Type,class/attribute/movementtype,Fault Movement Type,def/property/fault-movement-type
Mud Resistivity,class/attribute/resistivitymud,Resistivity,def/property/resistivity
Name,class/attribute/name,Feature Name,def/property/feature-name
Net Production Capacity MW,class/attribute/netproductioncapacity-mw,Power Production Capacity,def/property/power-production-capacity
Net Production MWhr,class/attribute/netproductionmwhr,Energy,def/property/energy
Notes,class/attribute/notes,Information,def/property/information
Number Injection Wells,class/attribute/numberinjectionwells,Count,def/property/count
Number Of Trenches,class/attribute/numberoftrenches,Feature Count,def/property/feature-count
Number Of Wells,class/attribute/numberofwells,Count,def/property/count
Number Operating Plants,class/attribute/numberoperatingplants,Feature Count,def/property/feature-count
Number Production Wells,class/attribute/numberproductionwells,Count,def/property/count
OBJECTID,class/attribute/objectid,Auto ID,def/property/auto-id
Observation Date,class/attribute/observationdate,Event in History,def/property/event-in-history
Observation Label,class/attribute/observationlabel,Name,def/property/name
Observation Method,class/attribute/observationmethod,Observation Procedure,def/property/observation-procedure
Observation Name,class/attribute/observationname,Observation Name,def/property/observation-name
Observation URI,class/attribute/observationuri,Observation Identifier,def/property/observation-identifier
Observed Gravity mgal,class/attribute/observedgravity-mgal,Acceleration of gravity,def/property/acceleration-of-gravity
Observed Numeric Value,class/attribute/observednumericvalue,Value,def/property/value
"Observed Numeric Value, maximum",class/attribute/observednumericvaluemaximum,Value,def/property/value
"Observed Numeric Value, minimum ",class/attribute/observednumericvalueminimum,Value,def/property/value
Observed Property Name,class/attribute/observedpropertyname,Observed Property,def/property/observed-property
Observer,class/attribute/observer,Agent Identifier,def/property/agent-identifier
Older Age URI,class/attribute/olderageuri,Older Age,def/property/older-age
Oldest Age,class/attribute/oldestage,Category  Name,def/property/category--name
Oldest Radiometric Age Ma,class/attribute/oldestradiometricage-ma,Time Position,def/property/time-position
Operational Date,class/attribute/operationaldate,Facility Operational Date,def/property/facility-operational-date
Operator,class/attribute/operator,Facility Operator,def/property/facility-operator
Origin datetime,class/attribute/origindatetime,Event in History,def/property/event-in-history
Other Analysis ID,class/attribute/otheranalysisid,Observation Identifier,def/property/observation-identifier
Other Analytical Data,class/attribute/otheranalyticaldata,Feature Identifier,def/property/feature-identifier
Other Distribution,class/attribute/otherdistribution,Relation,def/property/relation
Other Feature ID,class/attribute/otherfeatureid,Designation,def/property/designation
Other Formation Name,class/attribute/otherformationname,Feature Name,def/property/feature-name
Other ID,class/attribute/otherid,Feature Identifier,def/property/feature-identifier
Other Identifier,class/attribute/otheridentifier,Feature Identifier,def/property/feature-identifier
Other Lithology Name,class/attribute/otherlithologyname,Category  Name,def/property/category--name
Other Location Information,class/attribute/otherlocationinformation,Location,def/property/location
Other Location Name,class/attribute/otherlocationname,Location,def/property/location
Other Log ID,class/attribute/otherlogid,Feature Identifier,def/property/feature-identifier
Other Name,class/attribute/othername,Feature Name,def/property/feature-name
Other Site ID,class/attribute/othersiteid,Feature Identifier,def/property/feature-identifier
Other Specimen ID,class/attribute/otherspecimenid,Feature Identifier,def/property/feature-identifier
Overburden Thickness m,class/attribute/overburdenthickness-m,Extent,def/property/extent
Owner,class/attribute/owner,Resource Owner,def/property/resource-owner
Owners,class/attribute/owners,Resource Owner,def/property/resource-owner
Paper Copy Location,class/attribute/papercopylocation,Curation Location,def/property/curation-location
Parcel,class/attribute/parcel,Geospatial Position,def/property/geospatial-position
Parent Feature URI,class/attribute/parentfeatureuri,Parent Feature Identifier,def/property/parent-feature-identifier
Parent Sample URI,class/attribute/parentsampleuri,Parent Feature Identifier,def/property/parent-feature-identifier
Parent Specimen URI,class/attribute/parentspecimenuri,Parent Feature Identifier,def/property/parent-feature-identifier
Parent Well URI,class/attribute/parentwelluri,Parent Feature Identifier,def/property/parent-feature-identifier
Percent Target Rock,class/attribute/percenttargetrock,Composition,def/property/composition
Permeability Average m2,class/attribute/permeabilityaverage-m2,Permeability,def/property/permeability
Permeability Average Method,class/attribute/permeabilityaveragemethod,Observation Procedure,def/property/observation-procedure
Permeability Average Uncertainty,class/attribute/permeabilityaverageuncertainty,Uncertainty,def/property/uncertainty
Permeability Max m2,class/attribute/permeabilitymax-m2,Permeability,def/property/permeability
Permeability md,class/attribute/permeability-md,Permeability,def/property/permeability
Permeability Min m2,class/attribute/permeabilitymin-m2,Permeability,def/property/permeability
Permeability units,class/attribute/unitspermeability,Unit of Measure,def/property/unit-of-measure
"Permeability, air mD",class/attribute/permeabilityair-md,Air permeability,def/property/air-permeability
"Permeability, Commonly observed mD",class/attribute/permeabilitycommonlyobserved-md,Permeability,def/property/permeability
"Permeability, Geometric mean  mD",class/attribute/permeabilitygeometricmean-md,Permeability,def/property/permeability
"Permeability, Intrinsic mD",class/attribute/permeabilityintrinsic-md,intrinsic permeability,def/property/intrinsic-permeability
"Permeability, Local mD",class/attribute/permeabilitylocal-md,Local permeability,def/property/local-permeability
"Permeability, Mean intrinsic mD",class/attribute/permeabilitymeanintrinsic-md,intrinsic permeability,def/property/intrinsic-permeability
"Permeability, mean mD",class/attribute/permeabilitymean-md,Permeability,def/property/permeability
"Permeability, median mD",class/attribute/permeabilitymedian-md,Permeability,def/property/permeability
"Permeability, median pore-scale mD",class/attribute/permeabilitymedianporescale-md,Pore-scale permeability,def/property/pore-scale-permeability
"Permeability, pore-scale mD",class/attribute/permeabilityporescale-md,Pore-scale permeability,def/property/pore-scale-permeability
Permit,class/attribute/permit,Related Resource,def/property/related-resource
pH,class/attribute/ph,Chemical Character,def/property/chemical-character
Phone,class/attribute/phone,Telephone Number,def/property/telephone-number
Pipe Diameter in,class/attribute/pipediameter-in,Extent,def/property/extent
Pipe Material,class/attribute/pipematerial,Material Type,def/property/material-type
Pipe Total Length ft,class/attribute/pipetotallength-ft,Pipe Extent,def/property/pipe-extent-
Plant Name,class/attribute/plantname,Plant Name,def/property/plant-name
Plant Production Stat Label,class/attribute/plantproductionstatlabel,Name,def/property/name
Plant Production Stat URI,class/attribute/plantproductionstaturi,Self Identifier,def/property/self-identifier
Plant Type,class/attribute/planttype,Procedure Type,def/property/procedure-type
PLSS Location,class/attribute/plsslocation,Location,def/property/location
PLSS Meridians,class/attribute/plss-meridians,Spatial Reference System,def/property/spatial-reference-system
PLSS Range,class/attribute/plssrange,Range Number,def/property/range-number
PLSS section number,class/attribute/plsssectionnumber,Section Number,def/property/section-number
PLSS Section Part,class/attribute/plsssectionpart,Section Part,def/property/section-part
PLSS Township,class/attribute/plsstownship,Township Number,def/property/township-number
Porosity Average Method,class/attribute/porosityaveragemethod,Observation Procedure,def/property/observation-procedure
Porosity Average pct,class/attribute/porosityaverage-pct,porosity,def/property/porosity
Porosity Average Uncertainty,class/attribute/porosityaverageuncertainty,porosity,def/property/porosity
Porosity Max pct,class/attribute/porositymax-pct,porosity,def/property/porosity
porosity mean pct,class/attribute/porositymean-pct,porosity,def/property/porosity
porosity median pct,class/attribute/porositymedian-pct,porosity,def/property/porosity
Porosity Min pct,class/attribute/porositymin-pct,porosity,def/property/porosity
porosity percent,class/attribute/porositypercent,porosity,def/property/porosity
Porosity units,class/attribute/unitsporosity,Unit of Measure,def/property/unit-of-measure
Position Accuracy,class/attribute/positionaccuracy,Uncertainty,def/property/uncertainty
Position Accuracy Meters,class/attribute/positionaccuracymeters,Uncertainty,def/property/uncertainty
Positional Accuracy,class/attribute/positionalaccuracy,Uncertainty,def/property/uncertainty
Postal Address,class/attribute/postaladdress,Postal Address,def/property/postal-address
Power Plant Facility URI,class/attribute/powerplantfacilityuri,Self Identifier,def/property/self-identifier
Power Purchasers,class/attribute/powerpurchasers,Customer,def/property/customer
Preferred Pressure,class/attribute/preferredpressure,Pressure,def/property/pressure
Pressure Final Shut In,class/attribute/pressurefinalshutin,Pressure,def/property/pressure
Pressure Initial Shut In,class/attribute/pressureinitialshutin,Pressure,def/property/pressure
Pressure psi,class/attribute/pressure-psi,Pressure,def/property/pressure
Pressure units,class/attribute/units-pressure,Unit of Measure,def/property/unit-of-measure
Procedure Summary,class/attribute/proceduresummary,Procedure Description,def/property/procedure-description
Producing Feature,class/attribute/producingfeature,Category  Name,def/property/category--name
Producing Interval ,class/attribute/producinginterval,Feature Name,def/property/feature-name
Producing Interval ,class/attribute/producinginterval,Feature of Interest,def/property/feature-of-interest
Production Report Date,class/attribute/productionreportdate,History,def/property/history
Production status,class/attribute/production,Facility Status,def/property/facility-status
Publication Source,class/attribute/publicationsource,Provenance,def/property/provenance
qualifier,class/attribute/qualifier,Information,def/property/information
Radioactivity Measurement Device,class/attribute/radioactivitymeasurementdevice,Instrument Name,def/property/instrument-name
Range,class/attribute/range,Range Number,def/property/range-number
Rank,class/attribute/rank,Feature Type,def/property/feature-type
Recharge Procedure 1,class/attribute/rechargeprocedure1,Observation Procedure,def/property/observation-procedure
Recharge Procedure 2,class/attribute/rechargeprocedure2,Observation Procedure,def/property/observation-procedure
Record Name,class/attribute/recordname,Observation Name,def/property/observation-name
Recurrence Interval,class/attribute/recurrenceinterval,Periodicity,def/property/periodicity
Registrant,class/attribute/registrant,Resource Responsible Party,def/property/resource-responsible-party
Registrant URI,class/attribute/registranturi,Agent Identifier,def/property/agent-identifier
Related Fault,class/attribute/relatedfault,Relation,def/property/relation
Related Fault URI,class/attribute/relatedfaulturi,Relation,def/property/relation
Related Feature,class/attribute/relatedfeature,Relation,def/property/relation
Related Heat Flow Intervals URI,class/attribute/relatedheatflowintervalsuri,Relation,def/property/relation
Related Resource,class/attribute/relatedresource,Related Resource,def/property/related-resource
Related Resources,class/attribute/relatedresources,Relation,def/property/relation
Related Sample URI,class/attribute/relatedsampleuri,Relation,def/property/relation
Related Water Chemistry,class/attribute/relatedwaterchemistry,Relation,def/property/relation
Release Date,class/attribute/releasedate,Publication Date,def/property/publication-date
Remarks,class/attribute/remarks,Information,def/property/information
Report Year,class/attribute/reportyear,Event in History,def/property/event-in-history
Reporting Period,class/attribute/reportingperiod,Event in History,def/property/event-in-history
Representative Age URI,class/attribute/representativeageuri,Age,def/property/age
Representative Lithology URI,class/attribute/representativelithologyuri,Lithology Type,def/property/lithology-type
Reservoir Favorability,class/attribute/reservoirfavorability,Resource Assessment,def/property/resource-assessment
Reservoir Favorability Methodology,class/attribute/reservoirfavorabilitymethodology,Observation Procedure,def/property/observation-procedure
Reservoir Favorability Uncertainty,class/attribute/reservoirfavorabilityuncertainty,Uncertainty,def/property/uncertainty
Reservoir Name ,class/attribute/reservoirname,Feature Name,def/property/feature-name
Reservoir URI,class/attribute/reservoiruri,Feature Identifier,def/property/feature-identifier
Resource Type,class/attribute/resourcetype,Feature Type,def/property/feature-type
Result,class/attribute/result,Quantifier,def/property/quantifier
RGE,class/attribute/rge,Range Number,def/property/range-number
Rock Name,class/attribute/rockname,Category  Name,def/property/category--name
Rock Type,class/attribute/rocktype,Category  Name,def/property/category--name
Salinity,class/attribute/salinity,Chemical Character,def/property/chemical-character
Sample Collection Date,class/attribute/samplecollectiondate,History,def/property/history
Sample Collection Method,class/attribute/samplecollectionmethod,Observation Procedure,def/property/observation-procedure
Sample Cure Duration,class/attribute/samplecureduration,Observation History,def/property/observation-history
Sample Density,class/attribute/sampledensity,Density,def/property/density
Sample Density g-cc,class/attribute/sampledensity-g-cc,Density,def/property/density
Sample Density Units,class/attribute/sampledensityunits,Unit of Measure,def/property/unit-of-measure
Sample Depth,class/attribute/sampledepth,Vertical Extent,def/property/vertical-extent
Sample Depth meters,class/attribute/sampledepth-m,Vertical Extent,def/property/vertical-extent
Sample Dimensions Height,class/attribute/sampledimensionsheight,Extent,def/property/extent
Sample Dimensions Length,class/attribute/sampledimensionslength,Extent,def/property/extent
Sample Dimensions Units,class/attribute/sampledimensionsunits,Unit of Measure,def/property/unit-of-measure
Sample Dimensions Width,class/attribute/sampledimensionswidth,Extent,def/property/extent
Sample Mass kg,class/attribute/samplemass-kg,Mass,def/property/mass
Sample Measurement Date,class/attribute/samplemeasurementdate,History,def/property/history
Sample Shape,class/attribute/sampleshape,Shape,def/property/shape
Sample Temperature,class/attribute/sampletemperature,Temperature,def/property/temperature
Sample Temperature Units,class/attribute/sampletemperatureunits,Unit of Measure,def/property/unit-of-measure
Sample Type,class/attribute/sampletype,Material Type,def/property/material-type
Sampled Feature Age Label,class/attribute/sampledfeatureagelabel,Name,def/property/name
Sampled Feature Max Age Ma,class/attribute/sampledfeaturemaxage-ma,Time Position,def/property/time-position
Sampled Feature Min Age Ma,class/attribute/sampledfeatureminage-ma,Time Position,def/property/time-position
Sampled Geologic Unit,class/attribute/sampledgeologicunit,Category  Name,def/property/category--name
Sampled Geologic Unit Age,class/attribute/sampledgeologicunitage,Category  Name,def/property/category--name
Sampling Feature Name,class/attribute/samplingfeaturename,Feature Name,def/property/feature-name
Sampling Feature Type,class/attribute/samplingfeaturetype,Feature Type,def/property/feature-type
Sampling Feature URI,class/attribute/samplingfeatureuri,Feature Identifier,def/property/feature-identifier
Saturated Sample Conductivity,class/attribute/saturatedsampleconductivity,Thermal Conductivity,def/property/thermal-conductivity
Saturation Fluid,class/attribute/saturationfluid,Material Type,def/property/material-type
ScannedFileURL,class/attribute/scannedfileurl,Access Link,def/property/access-link
Section ,class/attribute/section-,Geospatial Position,def/property/geospatial-position
Section Part,class/attribute/sectionpart,Geospatial Position,def/property/geospatial-position
Seisometer Network,class/attribute/seisometernetwork,Feature Name,def/property/feature-name
Shape,class/attribute/shape,Geospatial Position,def/property/geospatial-position
Shape Area,class/attribute/shape-area,Extent,def/property/extent
Shape Length,class/attribute/shape-length,Extent,def/property/extent
Shut In Pressure Method,class/attribute/shutinpressuremethod,Observation Procedure,def/property/observation-procedure
Site Heat Flow,class/attribute/siteheatflow,Heat Flow,def/property/heat-flow
Site Location Name,class/attribute/sitelocationname,Feature Name,def/property/feature-name
Site Location URI,class/attribute/sitelocationuri,Observation Identifier,def/property/observation-identifier
Site Name,class/attribute/sitename,Feature Name,def/property/feature-name
Site Value Method,class/attribute/sitevaluemethod,Observation Procedure,def/property/observation-procedure
Slip Accumulation Interval,class/attribute/slipaccumulationinterval,Duration,def/property/duration
Slip Rate,class/attribute/sliprate,Velocity Magnitude,def/property/velocity-magnitude
Source,class/attribute/source,Provenance,def/property/provenance
Source Citation,class/attribute/sourcecitation,Provenance,def/property/provenance
Source Citation URI,class/attribute/sourcecitationuri,Source Identifier,def/property/source-identifier
Source URI,class/attribute/sourceuri,Source Identifier,def/property/source-identifier
Spacing Avg ft,class/attribute/spacingavg-ft,Borehole Spacing,def/property/borehole-spacing
Specific Heat,class/attribute/specificheat,Temperature,def/property/temperature
Specific Heat kJkgC,class/attribute/specificheat-kjkgc,Specific Heat,def/property/specific-heat
Specific Heat Units,class/attribute/specificheatunits,Unit of Measure,def/property/unit-of-measure
Specific Storage,class/attribute/specificstorage,Aquifer Productivity,def/property/aquifer-productivity
specification  uri,class/attribute/specification-uri,Description,def/property/description
Specification URI,class/attribute/specificationuri,Description,def/property/description
SpecificYield percent,class/attribute/specificyield-percent,Aquifer Productivity,def/property/aquifer-productivity
Specimen Collection Date,class/attribute/specimencollectiondate,History,def/property/history
Specimen Collection Method,class/attribute/specimencollectionmethod,Observation Procedure,def/property/observation-procedure
Specimen Collector,class/attribute/specimencollector,Resource Responsible Party,def/property/resource-responsible-party
Specimen Collector URI,class/attribute/specimencollectoruri,Agent Identifier,def/property/agent-identifier
Specimen Curation,class/attribute/specimencuration,Information,def/property/information
Specimen Description,class/attribute/specimendescription,Feature Description,def/property/feature-description
Specimen ID,class/attribute/specimenid,Feature Identifier,def/property/feature-identifier
Specimen Label,class/attribute/specimenlabel,Feature Name,def/property/feature-name
Specimen Mass kg,class/attribute/specimenmass-kg,Mass,def/property/mass
Specimen URI,class/attribute/specimenuri,Feature Identifier,def/property/feature-identifier
SpecimenType,class/attribute/specimentype,Feature Type,def/property/feature-type
Spring Name,class/attribute/springname,Feature Name,def/property/feature-name
Spud Date,class/attribute/spuddate,Feature History,def/property/feature-history
SRS,class/attribute/srs,Spatial Reference System,def/property/spatial-reference-system
Standard Deviation,class/attribute/standarddeviation,Value,def/property/value
Standard Error Conductivity,class/attribute/se-conductivity,Uncertainty,def/property/uncertainty
Standard Error Corrected Gradient,class/attribute/se-correctedgradient,Uncertainty,def/property/uncertainty
Standard Error Corrected HeatFlow,class/attribute/se-correctedheatflow,Uncertainty,def/property/uncertainty
Standard Error Uncorrected Gradient,class/attribute/se-uncorrectedgradient,Uncertainty,def/property/uncertainty
Standard Error Uncorrected HeatFlow,class/attribute/se-uncorrectedheatflow,Uncertainty,def/property/uncertainty
Standard Magnitude Error,class/attribute/standardmagnitudeerror,Uncertainty,def/property/uncertainty
Start Report Interval,class/attribute/startreportinterval,Event in History,def/property/event-in-history
State,class/attribute/state,Location Name,def/property/location-name
Station Identifier,class/attribute/stationidentifier,Sampling Feature Identifier,def/property/sampling-feature-identifier
Station Name,class/attribute/stationname,Feature Name,def/property/feature-name
Statistical procedure,class/attribute/statisticalprocedure,Observation Procedure,def/property/observation-procedure
Status,class/attribute/status,Facility Status,def/property/facility-status
Status Date,class/attribute/statusdate,Reporting date,def/property/reporting-date
Stimulation,class/attribute/stimulation,Process Type,def/property/process-type
Storage units,class/attribute/unitsstorage,Unit of Measure,def/property/unit-of-measure
Surface Temperature,class/attribute/surfacetemperature,Temperature,def/property/temperature
Symbol,class/attribute/symbol,Representation,def/property/representation
System Type,class/attribute/systemtype,Procedure Type,def/property/procedure-type
Target Feature URI,class/attribute/targetfeatureuri,Feature Identifier,def/property/feature-identifier
Target Formation,class/attribute/targetformation,Feature Name,def/property/feature-name
Target Rock Name,class/attribute/targetrockname,Category  Name,def/property/category--name
Target Rock Volume m3,class/attribute/targetrockvolume-m3,Composition,def/property/composition
Tectonic Province,class/attribute/tectonicprovince,Category  Name,def/property/category--name
Temp Measurement Date Time,class/attribute/tempmeasurementdatetime,History,def/property/history
Temp Measurement Procedure,class/attribute/tempmeasurementprocedure,Procedure Description,def/property/procedure-description
Temperature,class/attribute/temperature,Temperature,def/property/temperature
Temperature Correction,class/attribute/temperaturecorrection,Correction,def/property/correction
Temperature Fahrenheit,class/attribute/temperature-f,Temperature,def/property/temperature
Temperature Flowing,class/attribute/temperatureflowing,Temperature,def/property/temperature
Temperature Max C,class/attribute/temperaturemax-c,Temperature,def/property/temperature
Temperature Measure Type,class/attribute/temperaturemeasuretype,Procedure Type,def/property/procedure-type
Temperature Min C,class/attribute/temperaturemin-c,Temperature,def/property/temperature
Temperature Units,class/attribute/temperatureunits,Unit of Measure,def/property/unit-of-measure
Temperature units,class/attribute/units-temperature,Unit of Measure,def/property/unit-of-measure
Terrain Correction mgal,class/attribute/terraincorrection-mgal,Correction,def/property/correction
Test date time,class/attribute/testdatetime,Event in History,def/property/event-in-history
Test Fluid,class/attribute/testfluid,Material Type,def/property/material-type
Test Name,class/attribute/testname,Observation Name,def/property/observation-name
Test Number,class/attribute/testnumber,Local Identifier,def/property/local-identifier
Test Operator,class/attribute/testoperator,Resource Responsible Party,def/property/resource-responsible-party
Test Type,class/attribute/testtype,Procedure Type,def/property/procedure-type
Test Type Description,class/attribute/testtypedescription,Procedure Description,def/property/procedure-description
Thermal Conductivity Units,class/attribute/thermalconductivityunits,Unit of Measure,def/property/unit-of-measure
Thermal Conductivity Units,class/attribute/unitstc,Unit of Measure,def/property/unit-of-measure
Thermal Diffusivity,class/attribute/thermaldiffusivity,Thermal Diffusivity,def/property/thermal-diffusivity
Thermal Diffusivity units,class/attribute/unitsthermaldiffusivity,Unit of Measure,def/property/unit-of-measure
Thermal Spring URI,class/attribute/thermalspringuri,Feature Identifier,def/property/feature-identifier
Time Final Shut In min,class/attribute/timefinalshutin-min,Duration,def/property/duration
Time Initial Shut In min,class/attribute/timeinitialshutin-min,Duration,def/property/duration
Time Since Circulation ,class/attribute/timesincecirculation,Duration,def/property/duration
Time Since Circulation ,class/attribute/timesincecirculation,Duration,def/property/duration
Top Logged Interval ft,class/attribute/toploggedinterval-ft,Coverage Domain Bound,def/property/coverage-domain-bound
Total Mine Heat kJ,class/attribute/totalmineheat-kj,Energy,def/property/energy
Total Slip,class/attribute/totalslip,Displacement,def/property/displacement
Township,class/attribute/township,Township Number,def/property/township-number
Transmissivity,class/attribute/transmissivity,Hydraulic Transmissivity,def/property/hydraulic-transmissivity
Transmissivity units,class/attribute/transmissivity-units,Unit of Measure,def/property/unit-of-measure
Trap,class/attribute/trap,Feature Name,def/property/feature-name
True Vertical Depth,class/attribute/trueverticaldepth,Feature Extent,def/property/feature-extent
TWP,class/attribute/twp,Township Number,def/property/township-number
uncertainty,class/attribute/uncertainty,Uncertainty,def/property/uncertainty
Uncertainty mgal,class/attribute/uncertainty-mgal,Uncertainty,def/property/uncertainty
Uncertainty Specific Heat,class/attribute/uncertaintyspecificheat,Uncertainty,def/property/uncertainty
Uncertainty Thermal Conductivity,class/attribute/uncertaintytc,Uncertainty,def/property/uncertainty
Uncertainty Thermal Diffusivity,class/attribute/uncertaintythermaldiffusivity,Uncertainty,def/property/uncertainty
UncertaintyDensity,class/attribute/uncertaintydensity,Uncertainty,def/property/uncertainty
Units Of Measure,class/attribute/units,Unit of Measure,def/property/unit-of-measure
Units Of Measure,class/attribute/unitsofmeasure,Unit of Measure,def/property/unit-of-measure
Update Date,class/attribute/updatedate,History,def/property/history
Update Time Stamp,class/attribute/updatetimestamp,Update Time Stamp,def/property/update-time-stamp
Use Application,class/attribute/useapplication,Use Application,def/property/use-application
UTM Datum Zone,class/attribute/utmdatumzone,Spatial Reference System,def/property/spatial-reference-system
UTM E,class/attribute/utm-e,UTM Easting,def/property/utm-easting
UTM N,class/attribute/utm-n,UTM Northing,def/property/utm-northing
UTM Zone,class/attribute/utmzone,Spatial Reference System,def/property/spatial-reference-system
Vent Elevation,class/attribute/ventelevation,Vertical Extent,def/property/vertical-extent
Vertical Conductivity ft day,class/attribute/verticalconductivity-ft-day,Hydraulic conductivity,def/property/hydraulic-conductivity
Vertical Datum,class/attribute/verticaldatum,Vertical Datum,def/property/vertical-datum
Vertical Extent Max m,class/attribute/verticalextentmax-m,Vertical Extent,def/property/vertical-extent
Vertical Extent Min m,class/attribute/verticalextentmin-m,Vertical Extent,def/property/vertical-extent
Vertical Units,class/attribute/verticalunits,Unit of Measure,def/property/unit-of-measure
Viscosity,class/attribute/viscosity,Viscosity,def/property/viscosity
Volc Vent Name,class/attribute/volcventname,Feature Name,def/property/feature-name
Volcanic Group,class/attribute/volcanicgroup,Feature Name,def/property/feature-name
Water Density  kgm3,class/attribute/waterdensity-kgm3,Density,def/property/density
Water Density  mgL,class/attribute/waterdensity-mgl,Density,def/property/density
Water Injection bbl,class/attribute/waterinjection-bbl,Fluid Quantity,def/property/fluid-quantity
Water Mass kg,class/attribute/watermass-kg,Fluid Quantity,def/property/fluid-quantity
Water Resistivity ohm/m,class/attribute/resistivitywater-ohm-m,Resistivity,def/property/resistivity
Water Saturation pct,class/attribute/watersaturation-pct,Composition,def/property/composition
Water Table Temperature,class/attribute/watertabletemperature,Temperature,def/property/temperature
Water Table Top,class/attribute/watertabletop,Vertical Position,def/property/vertical-position
Water TDS mgl,class/attribute/watertds-mgl,Chemical Character,def/property/chemical-character
Watershed Name,class/attribute/watershedname,Feature Name,def/property/feature-name
Well Bore Shape,class/attribute/wellboreshape,Feature Shape,def/property/feature-shape
Well Count,class/attribute/wellcount,Count,def/property/count
Well Drill Date,class/attribute/welldrilldate,Resource History,def/property/resource-history
Well Drill Date Type,class/attribute/welldrilldatetype,Event Type,def/property/event-type
Well Header URI,class/attribute/wellheaderuri,Sampling Feature Identifier,def/property/sampling-feature-identifier
Well Name,class/attribute/wellname,Feature Name,def/property/feature-name
Well Type,class/attribute/welltype,Feature Type,def/property/feature-type
WellBore Name ,class/attribute/wellborename,Feature Name,def/property/feature-name
WellBore URI,class/attribute/wellboreuri,Sampling Feature Identifier,def/property/sampling-feature-identifier
Width m,class/attribute/width-m,Extent,def/property/extent
Year Commissioned,class/attribute/yearcommissioned,Event in History,def/property/event-in-history
Years In Production,class/attribute/yearsinproduction,History,def/property/history
Younger Age URI,class/attribute/youngerageuri,Younger Age,def/property/younger-age
Youngest Age,class/attribute/youngestage,Younger Age,def/property/younger-age
Youngest Radiometric Age Ma,class/attribute/youngestradiometricage-ma,Younger Age,def/property/younger-age
Zip,class/attribute/zip,Fiat Geographic Area,def/property/fiat-geographic-area
